"","rules","support","confidence","coverage","lift","count"
"18","{DISNEY_ACTIVATED_FLAG_NEW=1,MOV_NEW=1} => {cs_kor_ala=ADD_KOREAN}",0.0503468679861253,0.261099598783122,0.192826293953615,1.6067583555125,5922
"25","{MOV_NEW=1,VER_PACK_TIER_NEW=2} => {cs_kor_ala=ADD_KOREAN}",0.0693225872270965,0.257719902651791,0.268984220907298,1.58596033428451,8154
"3","{ENG_PACK_TIER_NEW=2} => {cs_kor_ala=ADD_KOREAN}",0.0613820308780521,0.256019290096096,0.239755492076447,1.57549508100153,7220
"5","{VER_PACK_TIER_NEW=2} => {cs_kor_ala=ADD_KOREAN}",0.0799921784669795,0.251275203631994,0.318344895599537,1.54630085549909,9409
"2","{DISNEY_ACTIVATED_FLAG_NEW=1} => {cs_kor_ala=ADD_KOREAN}",0.0524042712371625,0.250477467593157,0.2092175066313,1.54139173632821,6164
"8","{MOV_NEW=1} => {cs_kor_ala=ADD_KOREAN}",0.096689451132422,0.228791566919471,0.42260933142896,1.40794073806298,11373
"4","{EDU_PACK_TIER_NEW=1} => {cs_kor_ala=ADD_KOREAN}",0.0596221859484459,0.211311317343618,0.282153302047201,1.30037053422757,7013
"7","{SPT_NEW=1} => {cs_kor_ala=ADD_KOREAN}",0.0726552404271237,0.206904900251792,0.351152825953887,1.27325426322155,8546
"6","{L3M_AG_AVG_DAYS=1} => {cs_kor_ala=ADD_KOREAN}",0.0631078691423519,0.198057578910857,0.318633952254642,1.21880949365965,7423
"1","{} => {cs_kor_ala=ADD_KOREAN}",0.162500850166633,0.162500850166633,1,1,19114
